timestamp,model_version,model_type,input_summary,prediction,latency_ms,feedback_score,feedback_text,train_r2,test_r2,cv_r2
2026-01-17T05:32:17.348120,v1,baseline,"Amount=8587, Quantity=266, Category=Electronics",35.27343057,55.5331707,4,,0.09,0.114,0.03
2026-01-17T05:32:17.355608,v2,improved,"Amount=8587, Quantity=266, Category=Electronics",140.0060495,55.5331707,4,,0.361,0.167,0.047
